,OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed,x,y
342,404,PEC-LDN-0118A,Loudoun County,Dulles Commerce,Prologis,23700 PEBBLE RUN PL,124398485000,16.88,441175,,Expansion,Proposed,,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=124398485000&jur=107&taxyr=2025,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/f6c352b4-2c45-42eb-8aa1-1f4aa98da3b9?tab=attachments,38.96196848,-77.49829258,2025-08-06,SEP,38.96196848,,-8627070.4674,4716225.3467999995
343,405,PEC-LDN-0118B,Loudoun County,PROLOGIS-EXCHANGE 43461 OLD OX ROAD,Prologis,23965 CARTERS SCHOOL RD,124105978000,39.89,2023449,,Expansion,Proposed,,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=124105978000&jur=107&taxyr=2025,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/f6c352b4-2c45-42eb-8aa1-1f4aa98da3b9?tab=attachments,38.9532093,-77.49552282,2025-08-06,SEP,38.9532093,,-8626762.1391,4714971.420699999
344,406,PEC-LDN-0150,Loudoun County,Spring Valley Technology Park,SVTP Spring Valley LLC,"22532 EVERGREEN MILLS RD , LEESBURG, VA, 20175",241270467000,362.0,3483902,,New,Proposed,"Rezoning covers multiple parcels, total acreage represented here.",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=241270467000&jur=107&taxyr=2025,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/0167b7d9-e074-4e2e-bf05-e0599cdea1f5?tab=attachments,39.00105653,-77.57126082,2025-08-06,SEP,39.00105653,,-8635193.2547,4721822.912600003
345,407,PEC-LDN-0115,Loudoun County,Vantage VA 3,VANTAGE DATA CENTERS,19509 BELMONT RIDGE RD,113372932000,104.65,2329165,,New,Proposed,First building complete. This parcel is in the process of being divided,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=113372932000&jur=107&taxyr=2024,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/950F3AEF-A90A-44A7-9963-3B20A7A8A394?tab=attachments,39.07975689,-77.50654605,2025-08-06,SEP,39.07975689,,-8627989.2394,4733102.510300003
346,408,PEC-LDN-0115A,Loudoun County,Vantage VA 3,VANTAGE DATA CENTERS,43321 DATA DR,113272390000,29.75,385398,,"Operating, Expanding",Existing,First building of VA3 Campus. Square footage has been subtracted from the parent entry,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=commercial&UseSearch=no&pin=113272390000&jur=107&taxyr=2025&LMparent=20,,39.07739352,-77.50616535,2025-08-06,SEP,39.07739352,,-8627946.8601,4732763.601199999
347,409,PEC-LDN-0138,Loudoun County,NVA06 Campus,STACK INFRASTRUCTURE,19275 COMPASS CREEK PKWY SE,234371847002,5.35,232886,48.0,Complete,Existing,SI NVA06B,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=commercial&UseSearch=no&pin=234371847002&jur=107&taxyr=2025&LMparent=20,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/permit/c5987365-88d6-4775-92c7-1ee4c5fdc8d3?tab=attachments,39.08262667,-77.56523178,2025-08-06,SEP,39.08262667,,-8634522.105,4733514.054300003
348,410,PEC-LDN-0138A,Loudoun County,NVA06 Campus,STACK INFRASTRUCTURE,19265 COMPASS CREEK PKWY,234371847001,8.9,388150,24.0,Complete,Existing,SI NVA06A,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=land_summary&UseSearch=no&pin=234371847001&jur=107&taxyr=2025&LMparent=20,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/permit/c5987365-88d6-4775-92c7-1ee4c5fdc8d3?tab=attachments,39.08022813,-77.56472753,2025-08-06,SEP,39.08022813,,-8634465.9722,4733170.087899998
349,411,PEC-LDN-0127,Loudoun County,WHEELER SURVEY COMPANY,WHEELER SURVEY COMPANY LLC,24400 HOWLING ROOSTER LN,162176713000,135.31,538565,,"Operating, Expanding",Existing,Phase 1 and 2,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=162176713000&jur=107&taxyr=2024&LMparent=20,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/ceb6d3e2-f4d6-4a2f-a791-50cd5a6d03f3?tab=attachments,38.94236155,-77.52864356,2025-08-06,SEP,38.94236155,,-8630449.123,4713418.718800001
350,412,PEC-LDN-0127A,Loudoun County,WHEELER SURVEY COMPANY,WHEELER SURVEY COMPANY LLC,24400 HOWLING ROOSTER LN,162176713000,0.0,353385,,Expansion,Proposed,Phase 3,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=162176713000&jur=107&taxyr=2024&LMparent=20,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/ceb6d3e2-f4d6-4a2f-a791-50cd5a6d03f3?tab=attachments,38.94089757,-77.53257083,2025-08-06,SEP,38.94089757,,-8630886.3047,4713209.189000003
351,413,PEC-LDN-0151,Loudoun County,JK TECHNOLOGY PARK #3,STONE SPRINGS LLC,24393 STONE SPRINGS BLVD,203295737000,21.23,184080,,New,Proposed,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=203295737000&jur=107&taxyr=2025&LMparent=20,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/c87c4b0c-a3aa-4261-9954-8cc95f06f912?tab=locations,38.94555641,-77.54126179,2025-08-06,SEP,38.94555641,,-8631853.7779,4713875.993100002
